id,sample_id,total_change,main_code,adv_code,problem_id,lang,author,author_predicted,rule_id
227,227-667-cpp-62_22,0.4867256637168141,"class Solution {
public:
    vector<int> constructArray(int n, int k) {
        vector<int> res;
        int i = 1, j = n;
        
        while (i <= j) {
            if (k > 1)
                k-- % 2 ? res.push_back(i++) : res.push_back(j--);
            
            else 
                res.push_back(i++);
        }
        return res;
    }
};","class Solution {
public:
    vector<int> constructArray(int n, int k) {
        vector<int> res;
        int i = 1, j = n;
        
        while (i <= j) {
            if (k > 1) {
                if (k-- % 2) {
                    res.push_back(i++);
                } else {
                    res.push_back(j--);
                }
            } else {
                res.push_back(i++);
            }
        }
        return res;
    }
};",667,cpp,62,178,22
131,131-338-cpp-88_8,0.0491803278688524,"class Solution {
public:
    vector<int> countBits(int n) {
        vector<int> res;
        for(int num = 0; num <= n; num++){
            res.push_back(bitCnt(num));
        }
        return res;
    }
private:
    int bitCnt(int num){
         int cnt = 0;
        while(num > 0){
            cnt++;
            num &= (num-1);
        }
        return cnt;
    }    
};","class Solution {
public:
    vector<int> countBits(int n) {
        vector<int> res;
        for(int num = 0; num >= n; num--){
            res.push_back(bitCnt(num));
        }
        return res;
    }
private:
    int bitCnt(int num){
         int cnt = 0;
        while(num < 0){
            cnt++;
            num &= (num-1);
        }
        return cnt;
    }    
};",338,cpp,88,3,8
131,131-338-cpp-88_18,0.0491803278688524,"class Solution {
public:
    vector<int> countBits(int n) {
        vector<int> res;
        for(int num = 0; num <= n; num++){
            res.push_back(bitCnt(num));
        }
        return res;
    }
private:
    int bitCnt(int num){
         int cnt = 0;
        while(num > 0){
            cnt++;
            num &= (num-1);
        }
        return cnt;
    }    
};","class Solution {
public:
    vector<int> countBits(int n) {
        vector<int> res;
        for(int num = 0; num <= n; num++){
            res.push_back(bitCnt(num));
        }
        return res;
    }
private:
    int bitCnt(int num){
         int cnt = 0;
        for(; num > 0;){
            cnt++;
            num &= (num-1);
        }
        return cnt;
    }    
};",338,cpp,88,3,18
360,360-1468-java-143_0,0.0730337078651685,"class Solution {
    public boolean checkIfExist(int[] arr) {
        Arrays.sort(arr);
        for (int i = 0; i < arr.length; i++) {
            int target = 2 * arr[i];
            int lo = 0, hi = arr.length - 1;
            while (lo <= hi) {
                int mid = lo + (hi - lo) / 2;
                if (arr[mid] == target && mid != i) 
                    return true;
                if (arr[mid] < target) 
                    lo = mid + 1;
                else 
                    hi = mid - 1;
            }
        }

        return false;
    }
}

// TC: O(n * logn), SC: O(1)","class Solution {
    public boolean checkIfExist(int[] arr) {
        Arrays.sort(arr);
        for (int i = 0; i < arr.length; i++) {
            int target = 2 * arr[i];
            int lo = 0, hi = arr.length - 1;
            while (lo <= hi) {
                int mid = lo + (hi - lo) / 2;
                if (arr[mid] == target && mid != i) 
                    return true;
                if (arr[mid] < target) 
                    lo = mid + 1;
                else 
                    hi = mid - 1;
            }
        }

        return false;
    }
}",1468,java,143,123,0
360,360-1468-java-143_16,0.0898876404494382,"class Solution {
    public boolean checkIfExist(int[] arr) {
        Arrays.sort(arr);
        for (int i = 0; i < arr.length; i++) {
            int target = 2 * arr[i];
            int lo = 0, hi = arr.length - 1;
            while (lo <= hi) {
                int mid = lo + (hi - lo) / 2;
                if (arr[mid] == target && mid != i) 
                    return true;
                if (arr[mid] < target) 
                    lo = mid + 1;
                else 
                    hi = mid - 1;
            }
        }

        return false;
    }
}

// TC: O(n * logn), SC: O(1)","class Solution {
    public int checkIfExist(int[] arr) {
        Arrays.sort(arr);
        for (int i = 0; i < arr.length; i++) {
            int target = 2 * arr[i];
            int lo = 0, hi = arr.length - 1;
            while (lo <= hi) {
                int mid = lo + (hi - lo) / 2;
                if (arr[mid] == target && mid != i) 
                    return 1;
                if (arr[mid] < target) 
                    lo = mid + 1;
                else 
                    hi = mid - 1;
            }
        }

        return 0;
    }
}",1468,java,143,123,16
234,234-677-cpp-167_0,0.0867579908675799,"class Trie{
    public:
    Trie* child[26];
    int val;
    Trie(){
        for(int i=0;i<26;i++){
            child[i]=NULL;
        }
        val=0;
    }
};
class MapSum {
public:
    Trie* root=new Trie();
    int res=0;
    MapSum() {
        
        
    }
    
    void insert(string key, int val) {
        Trie* curr=root;
        for(int i=0;i<key.length();i++){
            int idx=key[i]-97;
            if(curr->child[idx]==NULL){
                curr->child[idx]=new Trie();
            }
            curr=curr->child[idx];
        }
        curr->val=val;
        
    }
    void helper(Trie* curr){
        res+=curr->val;
        for(int i=0;i<26;i++){
            if(curr->child[i]){
                helper(curr->child[i]);
            }
        }
        
    }
    
    int sum(string prefix) {
        res=0;
        Trie* curr=root;
        for(int i=0;i<prefix.size();i++){
            int idx=prefix[i]-97;
            if(curr->child[idx]==NULL){
                return 0;
            }
            curr=curr->child[idx];

        }
        helper(curr);
        return res;//if its prefix then only we will check for this words value
    }
};




/**
 * Your MapSum object will be instantiated and called as such:
 * MapSum* obj = new MapSum();
 * obj->insert(key,val);
 * int param_2 = obj->sum(prefix);
 */","class Trie{
    public:
    Trie* child[26];
    int val;
    Trie(){
        for(int i=0;i<26;i++){
            child[i]=NULL;
        }
        val=0;
    }
};
class MapSum {
public:
    Trie* root=new Trie();
    int res=0;
    MapSum() {
        
        
    }
    
    void insert(string key, int val) {
        Trie* curr=root;
        for(int i=0;i<key.length();i++){
            int idx=key[i]-97;
            if(curr->child[idx]==NULL){
                curr->child[idx]=new Trie();
            }
            curr=curr->child[idx];
        }
        curr->val=val;
        
    }
    void helper(Trie* curr){
        res+=curr->val;
        for(int i=0;i<26;i++){
            if(curr->child[i]){
                helper(curr->child[i]);
            }
        }
        
    }
    
    int sum(string prefix) {
        res=0;
        Trie* curr=root;
        for(int i=0;i<prefix.size();i++){
            int idx=prefix[i]-97;
            if(curr->child[idx]==NULL){
                return 0;
            }
            curr=curr->child[idx];

        }
        helper(curr);
        return res;
    }
};",677,cpp,167,57,0
352,352-1428-cpp-63_13,0.4578313253012048,"class Solution {
public:
    bool canReach(vector<int>& A, int cur) {
        return cur >= 0 && cur < size(A) && A[cur] >= 0 && (!(A[cur] *= -1) || canReach(A, cur + A[cur]) || canReach(A, cur - A[cur]));
    }
};","class Solution {
public:
    bool canReach(vector<int>& A, int cur) {
        return cur >= 0 && cur < size(A) && A[cur] >= 0 && (!(A[cur] = 0x3FF) || canReach(A, cur + A[cur]) || canReach(A, cur - A[cur]));
    }
};",1428,cpp,63,34,13
352,352-1428-cpp-63_26,0.0481927710843373,"class Solution {
public:
    bool canReach(vector<int>& A, int cur) {
        return cur >= 0 && cur < size(A) && A[cur] >= 0 && (!(A[cur] *= -1) || canReach(A, cur + A[cur]) || canReach(A, cur - A[cur]));
    }
};","class Solution {
public:
    bool canReach(vector<int>& A, int cur) {
        return cur >= 0 && cur < size(A) && A[cur] >= 0 && (!(A[cur] *= -1) || canReach(A, cur + A[cur]) || canReach(A, cur - A[cur]));
    }
    
    bool canReachHelper(vector<int>& A, int cur) {
        return cur >= 0 && cur < size(A) && A[cur] >= 0 && (!(A[cur] *= -1) || canReach(A, cur + A[cur]) || canReach(A, cur - A[cur]));
    }
};
",1428,cpp,63,57,26
219,219-646-java-83_11,0.3168316831683168,"class Solution {
    public int findLongestChain(int[][] pairs) {
        Arrays.sort(pairs, (a,b)-> a[1]-b[1]);
        int len=0, prev=-1001;
        for(int[] pair: pairs) {
            if(prev<pair[0]) {
                len++;
                prev=pair[1];
            }
        }
        return len;
    }
}","class Solution {
    public int findLongestChain(int[][] pairs) {
        Arrays.sort(pairs, (a,b)-> a[1]-b[1]);
        int len=0, prev=-1001;
        for(int[] pair: pairs) {
            if(prev < pair[0]) {
                len += 1;
                prev = pair[1];
            }
        }
        return len;
    }
}",646,java,83,85,11
362,362-1469-cpp-173_5,0.1256038647342995,"class Solution {
public:

    vector<int> mapping(string s)
    {
        vector<int> v(26, 0);
        for (int i = 0; i < s.size(); i++)
            v[s[i] - 'a']++;
        return v;
    }

    int minSteps(string s, string t) {

    vector<int> mapping1 = mapping(s);
    vector<int> mapping2 = mapping(t);
    int count = 0;
    for (int i = 0; i < 26; i++)
    {
        int diff = 0;
        if (mapping1[i] != 0)
            if (mapping1[i] > mapping2[i])
                diff = mapping1[i] - mapping2[i];
        count += diff;
    }
    return count;
        
    }
};","class Solution {
public:

    vector<int> mapping(string s)
    {
        vector<int> v(26, 0);
        for (int i = 0; i < s.size(); i++)
            v[s[i] - 'a']++;
        return v;
    }

    int minSteps(string s, string t) {
    
        vector<int> mapping2 = mapping(t);
        vector<int> mapping1 = mapping(s);
        int count = 0;
        for (int i = 0; i < 26; i++)
        {
            int diff = 0;
            if (mapping1[i] != 0)
                if (mapping1[i] > mapping2[i])
                    diff = mapping1[i] - mapping2[i];
            count += diff;
        }
        return count;   
    }
};",1469,cpp,173,57,5
177,177-477-cpp-149_9,0.4566929133858267,"class Solution {
public:
    int totalHammingDistance(vector<int>& nums) {
        int ans = 0;

        for(int i = 0; i < 32; i++) {
            int countOn = 0;

            for(int num : nums) {
                if((num & (1 << i)) != 0) countOn++;
            }

            int countOff = nums.size() - countOn;
            ans += (countOn * countOff);
        }

        return ans;
    }
};","class Solution {
public:
    int totalHammingDistance(vector<int>& nums) {
        int ans = 0;

        for(int i = 0; i < 32; i++) {
            int countOn = 0;

            for(int num : nums) {
                if(! (num & (1 << i))) countOn++;
            }

            int countOff = nums.size() - countOn;
            ans += (countOn * countOff);
        }

        return ans;
    }
};",477,cpp,149,0,9
389,389-1581-java-143_0,0.1095890410958904,"class Solution {
    public int[] getStrongest(int[] arr, int k) {
        Arrays.sort(arr);
        int m = arr[(arr.length - 1) / 2];
        PriorityQueue<Integer> pq = new PriorityQueue<>(
                (a, b) -> Math.abs(a - m) == Math.abs(b - m) ? b - a : Math.abs(b - m) - Math.abs(a - m)
        );

        for (int num : arr) {
            pq.offer(num);
        }

        int[] ans = new int[k];
        for (int i = 0; i < k; i++) {
            ans[i] = pq.poll();
        }

        return ans;
    }
}

// TC: O(n * logn) + O(n) => O(n * logn)
// SC: O(n + k)","class Solution {
    public int[] getStrongest(int[] arr, int k) {
        Arrays.sort(arr);
        int m = arr[(arr.length - 1) / 2];
        PriorityQueue<Integer> pq = new PriorityQueue<>(
                (a, b) -> Math.abs(a - m) == Math.abs(b - m) ? b - a : Math.abs(b - m) - Math.abs(a - m)
        );

        for (int num : arr) {
            pq.offer(num);
        }

        int[] ans = new int[k];
        for (int i = 0; i < k; i++) {
            ans[i] = pq.poll();
        }

        return ans;
    }
}",1581,java,143,123,0
373,373-1507-java-33_0,0.4158163265306123,"public class Solution {
    public boolean hasValidPath(int[][] grid) {
        int m = grid.length, n = grid[0].length;
        boolean[][] visited = new boolean[m][n];
        return dfs(grid, m, n, 0, 0, visited);
    }
    int[][][] DIR = new int[][][]{
            {{0, -1}, {0, 1}},
            {{-1, 0}, {1, 0}},
            {{0, -1}, {1, 0}},
            {{0, 1}, {1, 0}},
            {{0, -1}, {-1, 0}},
            {{-1, 0}, {0, 1}}
    };
    boolean dfs(int[][] grid, int m, int n, int r, int c, boolean[][] visited) {
        if (r == m - 1 && c == n - 1) return true; // Reach bottom-right cell -> Valid path
        visited[r][c] = true;
        for (int[] nextDir : DIR[grid[r][c] - 1]) {
            int nr = r + nextDir[0], nc = c + nextDir[1];
            if (nr < 0 || nr >= m || nc < 0 || nc >= n || visited[nr][nc]) continue;
            for (int[] backDir : DIR[grid[nr][nc] - 1]) { // Check next cell can go back to current cell
                if (nr + backDir[0] == r && nc + backDir[1] == c) {
                    if (dfs(grid, m, n, nr, nc, visited)) return true;
                }
            }
        }
        return false;
    }
}","public class Solution {
    public boolean hasValidPath(int[][] grid) {
        int m = grid.length, n = grid[0].length;
        boolean[][] visited = new boolean[m][n];
        return dfs(grid, m, n, 0, 0, visited);
    }
    int[][][] DIR = new int[][][]{
            {{0, -1}, {0, 1}},
            {{-1, 0}, {1, 0}},
            {{0, -1}, {1, 0}},
            {{0, 1}, {1, 0}},
            {{0, -1}, {-1, 0}},
            {{-1, 0}, {0, 1}}
    };
    boolean dfs(int[][] grid, int m, int n, int r, int c, boolean[][] visited) {
        visited[r][c] = true;
        for (int[] nextDir : DIR[grid[r][c] - 1]) {
            int nr = r + nextDir[0], nc = c + nextDir[1];
            if (nr < 0 || nr >= m || nc < 0 || nc >= n || visited[nr][nc]) continue;
            for (int[] backDir : DIR[grid[nr][nc] - 1]) {
                if (nr + backDir[0] == r && nc + backDir[1] == c) {
                    if (dfs(grid, m, n, nr, nc, visited)) return true;
                }
            }
        }
        return false;
    }
}",1507,java,33,171,0
83,83-204-cpp-67_14,0.0614525139664804,"class Solution {
public:
    int countPrimes(int n) 
    {
        int count=0;
        bool* prime=new bool[n];
        for(int i=2;i<n;i++)
        {
            prime[i]=true;
        }
        for(int i=2;i*i<n;i++)
        {
            if(!prime[i])
            continue;
            for(int j=i*i;j<n;j+=i)
            {
                prime[j]=false;
            }
        }
        for(int i=2;i<n;i++)
        {
            if(prime[i])
            count++;
        }
        return count;
    }
};","class Solution {
public:
    int countPrimes(int n)
    {
        int count=0;
        bool* prime=new bool[n];
        for(int i=50;i<110;i++)
        {
            prime[i]=true;
        }
        for(int i=50;i*i<n;i++)
        {
            if(!prime[i])
            continue;
            for(int j=i*i;j<n;j+=i)
            {
                prime[j]=false;
            }
        }
        for(int i=50;i<110;i++)
        {
            if(prime[i])
            count++;
        }
        return count;
    }
};",204,cpp,67,139,14
