Actual,Predicted,Id,Labels
54,54,345,54
63,63,346,63
154,37,347,154
149,149,348,149
88,88,349,88
57,80,350,57
143,143,351,143
139,139,352,139
190,87,353,190
24,24,354,24
57,142,355,57
78,78,356,78
41,41,357,41
115,22,358,115
49,49,359,49
192,192,360,192
12,137,361,12
195,65,362,195
127,127,363,127
103,80,364,103
122,122,365,122
125,125,366,125
167,167,367,167
43,77,368,43
47,47,369,47
14,148,370,14
85,99,371,85
121,121,372,121
145,145,373,145
180,180,374,180
49,49,375,49
127,80,376,127
57,54,377,57
49,49,378,49
83,83,379,83
68,68,380,68
9,9,381,9
196,112,382,196
172,172,383,172
163,172,384,163
33,33,385,33
197,197,386,197
116,116,387,116
85,85,388,85
88,88,389,88
42,42,390,42
0,0,391,0
111,111,392,111
110,47,393,110
89,89,394,89
97,84,395,97
7,110,396,7
52,121,397,52
172,172,398,172
128,128,399,128
154,154,400,154
191,78,401,191
152,152,402,152
194,106,403,194
57,57,404,57
37,37,405,37
143,138,406,143
31,51,407,31
80,24,408,80
111,111,409,111
88,88,410,88
180,180,411,180
9,168,412,9
196,62,413,196
153,153,414,153
39,39,415,39
14,14,416,14
86,88,417,86
7,39,418,7
189,178,419,189
49,49,420,49
54,54,421,54
9,9,422,9
193,80,423,193
185,78,424,185
55,55,425,55
100,100,426,100
184,184,427,184
57,57,428,57
106,63,429,106
49,49,430,49
49,49,431,49
85,85,432,85
56,100,433,56
49,49,434,49
131,131,435,131
49,49,436,49
106,106,437,106
121,121,438,121
106,106,439,106
95,37,440,95
167,167,441,167
110,27,442,110
33,121,443,33
51,51,444,51
48,154,445,48
60,3,446,60
78,78,447,78
150,110,448,150
91,103,449,91
71,128,450,71
49,49,451,49
174,3,452,174
14,14,453,14
71,49,454,71
49,49,455,49
93,24,456,93
160,41,457,160
60,148,458,60
80,59,459,80
91,103,460,91
160,138,461,160
158,158,462,158
144,144,463,144
186,186,464,186
161,126,465,161
66,166,466,66
157,62,467,157
57,24,468,57
4,65,469,4
139,139,470,139
130,130,471,130
106,106,472,106
16,83,473,16
25,77,474,25
