c1,c2,a1,a2,same,token_diff
83,1497,63,63,1,36
4225,4298,49,49,1,35
2849,3122,26,26,1,22
450,4118,57,57,1,36
802,1517,3,3,1,10
3437,3716,192,192,1,17
1081,1955,63,63,1,0
2616,3648,49,49,1,17
3508,3983,103,103,1,37
1981,4227,109,109,1,7
111,1803,78,78,1,2
3854,4065,177,177,1,29
927,1351,34,34,1,66
2387,2807,63,63,1,9
2965,4277,49,49,1,51
1474,2167,68,68,1,62
3094,4413,3,3,1,55
1067,1193,63,63,1,51
1430,1769,27,27,1,19
2179,4377,57,57,1,46
3733,3782,33,33,1,33
592,4228,9,9,1,2
2738,4600,80,80,1,39
4144,4193,57,57,1,19
1514,2052,130,130,1,38
296,3127,135,135,1,23
674,1724,63,63,1,51
1523,2070,106,106,1,4
2992,2998,175,175,1,20
127,2960,143,143,1,59
1753,2590,60,60,1,24
3648,3746,49,49,1,43
520,2654,3,3,1,32
3129,4446,3,3,1,8
808,3587,63,63,1,54
1872,1873,63,63,1,40
1081,1869,63,63,1,59
4212,4666,57,57,1,50
2718,2918,175,175,1,26
3600,4618,48,48,1,16
1377,1591,49,49,1,40
1557,2877,106,106,1,4
3171,4187,57,57,1,15
1980,4097,15,15,1,39
718,3582,85,85,1,56
93,2305,96,96,1,9
1431,1621,138,138,1,61
2249,4049,110,110,1,66
1142,1396,132,132,1,56
1724,2540,63,63,1,12
1165,3918,78,78,1,17
3180,3669,57,57,1,27
762,1669,7,7,1,26
300,1544,30,30,1,16
2352,2372,83,83,1,41
4265,4604,100,100,1,58
1582,1900,88,88,1,52
3843,4278,49,49,1,6
197,3895,55,55,1,18
1570,2186,63,63,1,40
1557,4435,106,106,1,8
1061,3492,106,106,1,44
955,1446,88,88,1,42
1903,4045,49,49,1,39
1368,1869,63,63,1,64
3150,3487,192,192,1,59
392,4181,57,57,1,25
1557,1630,106,106,1,14
1083,1570,63,63,1,10
2825,3323,123,123,1,167
3905,4605,100,100,1,72
1277,2435,63,63,1,127
485,3128,3,3,1,116
183,4124,117,117,1,90
1883,2808,63,63,1,122
277,438,106,106,1,131
3709,4546,49,49,1,153
842,2353,103,103,1,116
171,838,53,53,1,78
706,1725,63,63,1,145
1650,3073,26,26,1,105
1333,2344,63,63,1,110
514,773,19,19,1,97
3170,3688,85,85,1,129
412,857,88,88,1,99
928,1120,34,34,1,158
3378,4708,80,80,1,128
2380,4431,106,106,1,113
492,777,5,5,1,115
3884,4680,106,106,1,150
1824,4325,106,106,1,86
2658,2814,175,175,1,120
621,1649,49,49,1,70
84,2186,63,63,1,116
716,3109,85,85,1,150
4003,4434,85,85,1,96
383,2659,166,166,1,161
187,4412,27,27,1,91
3708,4303,57,57,1,100
1123,1729,127,127,1,81
3625,4131,49,49,1,110
670,1194,63,63,1,78
139,1552,106,106,1,156
1047,1843,71,71,1,103
518,1380,0,0,1,85
51,3221,40,40,1,86
965,1174,88,88,1,96
1332,1874,63,63,1,116
729,1566,23,23,1,140
1012,1027,130,130,1,160
23,3879,49,49,1,74
4004,4165,57,57,1,129
143,2175,60,60,1,150
712,1276,63,63,1,147
269,1616,3,3,1,85
162,1901,88,88,1,73
2342,3162,63,63,1,109
3365,3967,139,139,1,143
1509,2725,133,133,1,133
2059,3792,49,49,1,142
432,4503,95,95,1,68
706,807,63,63,1,107
2957,4003,85,85,1,82
2221,2319,34,34,1,85
2024,2515,135,135,1,88
3181,3770,5,5,1,131
1086,2806,124,124,1,80
3758,3808,33,33,1,95
134,3737,85,85,1,84
11,754,56,56,1,76
589,3020,51,51,1,87
63,2285,26,26,1,127
1131,1537,138,138,1,111
525,1414,21,21,1,69
1148,3105,119,119,1,109
1230,3030,63,63,1,153
2932,3044,3,3,1,98
645,2587,49,49,1,150
1100,3390,33,33,1,84
3451,4150,95,95,1,78
1038,4472,88,88,1,69
107,1873,63,63,1,93
485,3093,3,3,1,71
111,3158,78,78,1,154
94,943,63,63,1,79
3330,4117,50,50,1,158
3879,4475,49,49,1,108
2650,4302,57,57,1,100
2753,4715,98,98,1,143
3976,4041,60,60,1,141
2586,3348,49,49,1,150
550,4369,34,34,1,85
21,1026,8,8,1,134
3528,4131,49,49,1,128
2960,3677,143,143,1,94
229,563,17,17,1,141
449,4284,100,100,1,145
998,2165,40,40,1,80
1158,1991,106,106,1,91
1761,2930,78,78,1,120
2774,3199,51,51,1,71
2734,4699,63,63,1,93
944,1231,63,63,1,71
252,2778,57,57,1,83
2481,2635,3,3,1,94
2803,3915,57,57,1,108
1045,2612,88,88,1,99
265,3462,57,57,1,123
2628,3688,85,85,1,94
1378,4349,49,49,1,71
2778,4637,57,57,1,118
3662,3806,122,122,1,70
1719,2986,73,73,1,69
3074,4574,172,172,1,112
1268,3986,106,106,1,95
26,3637,34,34,1,92
2323,4013,103,103,1,83
1015,3222,40,40,1,146
1048,2562,32,32,1,81
234,3095,3,3,1,126
440,2481,3,3,1,86
191,1884,63,63,1,90
4069,4262,189,189,1,145
3688,4684,85,85,1,82
250,4534,106,106,1,126
381,2500,88,88,1,116
1210,4555,70,70,1,139
3061,3181,5,5,1,73
110,4012,80,80,1,67
230,4016,150,150,1,139
1203,3991,120,120,1,69
704,2435,63,63,1,70
292,3131,133,133,1,81
457,4632,57,57,1,128
2982,3149,57,57,1,161
1645,2432,63,63,1,112
3170,4174,85,85,1,74
2802,3237,145,145,1,87
955,1314,88,88,1,139
681,3860,77,77,1,116
1431,1929,138,138,1,120
3124,3458,38,38,1,160
421,4580,49,49,1,108
1750,2399,169,169,1,95
2610,4382,161,161,1,99
673,2530,63,63,1,124
2021,2968,85,85,1,135
1321,1753,60,60,1,89
1367,2435,63,63,1,123
2252,4558,49,49,1,159
1228,3370,63,63,1,101
1262,1706,120,120,1,86
2901,3345,187,187,1,135
2313,2850,49,49,1,109
2209,2654,3,3,1,103
3162,3586,63,63,1,131
937,3161,63,63,1,108
2062,4074,88,88,1,73
1400,3689,49,49,1,71
1428,1690,106,106,1,108
3384,3767,34,34,1,148
2451,3648,49,49,1,127
2170,2188,63,63,1,78
971,1580,3,3,1,140
712,942,63,63,1,118
117,828,106,106,1,76
711,807,63,63,1,118
2877,2981,106,106,1,90
2032,2103,169,169,1,82
2170,3160,63,63,1,79
1415,1819,114,114,1,106
1183,2991,74,74,1,143
1895,3095,3,3,1,83
2458,4488,130,130,1,88
1572,1725,63,63,1,74
2835,4054,57,57,1,915
2722,3990,41,41,1,177
1271,3235,123,123,1,329
2486,4240,80,80,1,287
3651,3707,51,51,1,214
3835,4506,85,85,1,307
1847,4071,3,3,1,344
1937,2862,60,60,1,493
363,3538,33,33,1,287
2650,3180,57,57,1,188
3047,4561,57,57,1,429
1859,3697,60,60,1,251
1592,2896,49,49,1,266
1485,2263,156,156,1,230
750,3941,3,3,1,339
1228,1726,63,63,1,236
1489,4156,57,57,1,553
3848,4327,14,14,1,331
1273,3820,63,63,1,275
1366,1646,63,63,1,281
733,3843,49,49,1,463
2047,3109,85,85,1,206
1660,4561,57,57,1,299
2790,4092,168,168,1,173
1859,4285,60,60,1,285
3529,4581,49,49,1,467
1876,2054,103,103,1,228
2255,4009,9,9,1,600
4038,4332,49,49,1,217
2900,3485,187,187,1,237
4483,4562,48,48,1,195
435,1236,3,3,1,265
206,2060,49,49,1,189
3425,3746,49,49,1,530
4319,4344,39,39,1,245
833,2872,109,109,1,203
4220,4244,9,9,1,206
319,3900,127,127,1,229
89,2433,63,63,1,286
1231,2948,63,63,1,395
629,1084,63,63,1,589
111,2210,78,78,1,182
3248,3462,57,57,1,339
1031,2600,40,40,1,470
807,2952,63,63,1,439
3487,3598,192,192,1,205
244,2582,140,140,1,179
3190,4548,124,124,1,265
1904,4334,49,49,1,410
231,3408,85,85,1,355
265,3047,57,57,1,404
452,2042,49,49,1,169
108,842,103,103,1,258
1332,1725,63,63,1,197
1146,2914,35,35,1,203
1804,4041,60,60,1,209
3954,4007,196,196,1,348
1591,4030,49,49,1,192
2978,4059,189,189,1,226
2173,2534,171,171,1,201
1648,3791,49,49,1,186
483,3407,3,3,1,208
526,3064,21,21,1,327
51,2938,40,40,1,269
1483,3638,34,34,1,171
2820,3510,57,57,1,263
1978,2650,57,57,1,497
179,1728,106,106,1,233
849,2948,63,63,1,471
2955,4241,39,39,1,201
941,3661,63,63,1,189
2254,2774,51,51,1,172
1709,2795,3,3,1,222
1491,2435,63,63,1,175
134,4684,85,85,1,510
2048,4136,66,66,1,191
395,3944,49,49,1,551
2511,3534,88,88,1,260
270,718,85,85,1,239
1592,1649,49,49,1,409
3270,3582,85,85,1,400
1368,2948,63,63,1,472
3310,4414,85,85,1,204
3302,3303,103,103,1,363
1319,2193,113,113,1,331
257,3553,147,147,1,225
3589,4653,33,33,1,400
261,836,49,49,1,423
3628,4074,88,88,1,194
440,483,3,3,1,216
1797,2176,127,127,1,301
4087,4230,52,52,1,175
858,1133,80,80,1,220
954,1023,88,88,1,175
800,3153,3,3,1,199
1529,3170,85,85,1,224
642,4087,52,52,1,259
584,3709,49,49,1,234
2760,4241,39,39,1,313
1683,4166,143,143,1,224
3629,4075,88,88,1,176
1163,1221,44,44,1,294
427,4334,49,49,1,175
3947,4242,14,14,1,172
327,3143,85,85,1,274
421,2042,49,49,1,227
1724,2539,63,63,1,219
683,1651,78,78,1,199
107,2952,63,63,1,431
407,721,85,85,1,195
36,1047,71,71,1,325
1531,3081,85,85,1,206
1338,4699,63,63,1,215
751,2683,80,80,1,423
784,1044,36,36,1,197
898,1148,119,119,1,325
2279,3041,140,140,1,287
205,1344,120,120,1,386
2481,3579,3,3,1,179
1438,1728,106,106,1,169
2095,2688,80,80,1,389
359,3774,51,51,1,171
584,3348,49,49,1,173
2699,4480,14,14,1,196
144,1724,63,63,1,331
1978,4302,57,57,1,597
3268,3397,9,9,1,272
4541,4728,57,57,1,180
1525,4158,80,80,1,208
316,2887,85,85,1,388
3159,4704,57,57,1,284
22,1311,49,49,1,300
2179,3337,57,57,1,580
1665,2405,9,9,1,260
235,3537,106,106,1,226
1309,4461,148,148,1,236
1886,2624,71,71,1,315
256,736,9,9,1,364
2079,3941,3,3,1,212
4165,4316,57,57,1,313
1047,2624,71,71,1,570
189,622,49,49,1,241
1687,4396,165,165,1,207
947,1500,124,124,1,367
1017,3270,85,85,1,264
2344,2432,63,63,1,246
2952,3661,63,63,1,347
1835,2248,114,114,1,260
1464,2434,63,63,1,179
3164,3370,63,63,1,176
1723,1869,63,63,1,259
2129,3270,85,85,1,453
3337,4679,57,57,1,327
3348,3746,49,49,1,188
3694,3928,148,148,1,393
452,2313,49,49,1,291
412,2499,88,88,1,186
621,1310,49,49,1,294
1750,2333,169,169,1,215
181,193,14,14,1,197
458,4387,172,172,1,192
2941,4338,85,85,1,254
4334,4557,49,49,1,412
1029,2099,132,132,1,199
1773,2979,85,85,1,210
3342,3691,14,14,1,182
940,3164,63,63,1,195
1559,1910,88,88,1,177
