c1,c2,a1,a2,same,token_diff
80,83,90,90,1,286
22,23,9,9,1,179
16,132,157,157,1,252
7,66,59,59,1,194
100,102,96,96,1,183
119,124,119,119,1,276
130,132,157,157,1,268
149,150,199,199,1,207
58,61,56,56,1,259
23,27,9,9,1,280
74,75,85,85,1,217
85,90,91,91,1,372
18,143,185,185,1,265
98,103,96,96,1,351
1,26,9,9,1,279
91,95,94,94,1,289
147,148,199,199,1,366
157,158,200,200,1,235
78,83,90,90,1,203
142,144,185,185,1,181
10,87,91,91,1,175
17,138,178,178,1,283
144,146,185,185,1,255
112,116,104,104,1,323
53,54,41,41,1,234
44,47,39,39,1,266
12,100,96,96,1,376
20,160,200,200,1,353
57,58,56,56,1,317
113,115,104,104,1,286
17,137,178,178,1,219
121,125,119,119,1,238
7,69,59,59,1,285
135,136,178,178,1,202
31,34,29,29,1,193
73,74,85,85,1,204
127,129,157,157,1,261
8,74,85,85,1,198
20,158,200,200,1,211
155,156,200,200,1,182
50,52,41,41,1,279
23,24,9,9,1,343
86,88,91,91,1,295
50,51,41,41,1,178
21,26,9,9,1,306
20,159,200,200,1,251
134,138,178,178,1,378
103,104,96,96,1,244
149,152,199,199,1,273
3,41,37,37,1,357
1,27,9,9,1,178
44,45,39,39,1,339
29,34,29,29,1,365
20,156,200,200,1,205
107,111,99,99,1,282
16,126,157,157,1,200
43,46,39,39,1,338
32,34,29,29,1,374
30,34,29,29,1,327
120,125,119,119,1,260
18,146,185,185,1,300
147,150,199,199,1,384
14,113,104,104,1,362
22,26,9,9,1,356
28,32,29,29,1,242
126,130,157,157,1,184
151,153,199,199,1,366
7,64,59,59,1,167
105,108,99,99,1,235
78,81,90,90,1,255
140,143,185,185,1,384
155,158,200,200,1,176
7,67,59,59,1,270
10,86,91,91,1,167
112,114,104,104,1,335
98,102,96,96,1,243
28,29,29,29,1,233
143,144,185,185,1,220
128,132,157,157,1,283
43,45,39,39,1,257
143,145,185,185,1,285
32,33,29,29,1,206
78,79,90,90,1,227
156,157,200,200,1,241
89,90,91,91,1,262
80,81,90,90,1,338
11,92,94,94,1,381
51,54,41,41,1,256
10,85,91,91,1,312
12,98,96,96,1,316
112,113,104,104,1,295
11,94,94,94,1,178
19,149,199,199,1,199
43,48,39,39,1,197
86,87,91,91,1,342
5,54,41,41,1,201
30,33,29,29,1,253
56,61,56,56,1,371
2,31,29,29,1,384
2,34,29,29,1,191
13,107,99,99,1,272
70,75,85,85,1,185
131,132,157,157,1,274
87,90,91,91,1,235
126,131,157,157,1,178
102,104,96,96,1,350
99,101,96,96,1,275
37,41,37,37,1,339
134,136,178,178,1,281
127,132,157,157,1,374
57,60,56,56,1,232
9,80,90,90,1,180
10,89,91,91,1,202
126,129,157,157,1,339
49,54,41,41,1,280
120,123,119,119,1,248
29,33,29,29,1,215
148,149,199,199,1,189
149,153,199,199,1,243
99,104,96,96,1,204
17,136,178,178,1,186
29,31,29,29,1,172
54,55,41,41,1,350
71,74,85,85,1,211
79,80,90,90,1,310
19,147,199,199,1,376
28,30,29,29,1,195
7,63,59,59,1,287
37,39,37,37,1,283
52,54,41,41,1,357
23,26,9,9,1,177
11,95,94,94,1,226
3,39,37,37,1,301
100,104,96,96,1,167
58,62,56,56,1,224
43,47,39,39,1,184
18,142,185,185,1,226
9,82,90,90,1,231
147,149,199,199,1,177
47,48,39,39,1,381
60,62,56,56,1,325
44,46,39,39,1,256
88,90,91,91,1,402
59,61,56,56,1,1126
13,110,99,99,1,689
1,24,9,9,1,445
102,103,96,96,1,594
59,62,56,56,1,1091
77,79,90,90,1,562
14,117,104,104,1,829
112,118,104,104,1,437
10,88,91,91,1,462
87,88,91,91,1,637
8,76,85,85,1,465
31,33,29,29,1,387
88,89,91,91,1,664
73,76,85,85,1,471
148,153,199,199,1,432
126,132,157,157,1,452
133,134,178,178,1,1123
84,87,91,91,1,1007
113,117,104,104,1,1191
11,96,94,94,1,821
15,120,119,119,1,397
63,67,59,59,1,557
133,136,178,178,1,1404
106,109,99,99,1,637
14,114,104,104,1,402
16,128,157,157,1,535
71,75,85,85,1,428
56,62,56,56,1,406
105,109,99,99,1,586
12,102,96,96,1,559
150,153,199,199,1,450
128,130,157,157,1,551
70,73,85,85,1,606
4,45,39,39,1,457
84,85,91,91,1,1144
128,131,157,157,1,557
96,97,94,94,1,979
45,46,39,39,1,595
127,128,157,157,1,657
38,40,37,37,1,1077
40,41,37,37,1,497
20,157,200,200,1,446
94,95,94,94,1,404
4,42,39,39,1,387
149,151,199,199,1,609
72,76,85,85,1,543
84,90,91,91,1,772
134,135,178,178,1,483
13,105,99,99,1,557
116,117,104,104,1,1219
36,37,37,37,1,982
2,33,29,29,1,771
36,41,37,37,1,643
117,118,104,104,1,459
152,153,199,199,1,516
56,58,56,56,1,630
91,92,94,94,1,444
141,143,185,185,1,426
99,103,96,96,1,448
67,69,59,59,1,555
119,122,119,119,1,434
45,48,39,39,1,454
136,137,178,178,1,405
95,96,94,94,1,595
115,117,104,104,1,905
84,86,91,91,1,665
6,60,56,56,1,397
36,39,37,37,1,699
77,81,90,90,1,534
114,117,104,104,1,1231
42,46,39,39,1,525
22,25,9,9,1,581
94,96,94,94,1,999
70,74,85,85,1,402
77,80,90,90,1,872
84,89,91,91,1,1034
28,33,29,29,1,448
13,106,99,99,1,608
92,96,94,94,1,440
58,59,56,56,1,867
35,36,37,37,1,1146
19,151,199,199,1,808
13,111,99,99,1,554
25,27,9,9,1,682
133,138,178,178,1,1501
6,59,56,56,1,1019
133,137,178,178,1,999
107,108,99,99,1,520
12,99,96,96,1,413
35,38,37,37,1,1083
4,47,39,39,1,384
137,138,178,178,1,502
68,69,59,59,1,548
133,139,178,178,1,1547
17,135,178,178,1,388
2,32,29,29,1,565
95,97,94,94,1,384
150,151,199,199,1,816
46,47,39,39,1,522
63,66,59,59,1,481
121,122,119,119,1,461
70,71,85,85,1,613
63,68,59,59,1,550
38,39,37,37,1,636
147,152,199,199,1,450
71,76,85,85,1,478
2,30,29,29,1,518
2,29,29,29,1,556
10,84,91,91,1,832
59,60,56,56,1,1416
58,60,56,56,1,549
109,110,99,99,1,718
116,118,104,104,1,760
70,72,85,85,1,678
128,129,157,157,1,396
63,65,59,59,1,435
65,69,59,59,1,433
112,117,104,104,1,896
19,153,199,199,1,442
92,97,94,94,1,539
36,40,37,37,1,1140
133,135,178,178,1,1606
134,139,178,178,1,424
33,34,29,29,1,580
107,110,99,99,1,417
109,111,99,99,1,583
120,122,119,119,1,483
141,146,185,185,1,391
93,96,94,94,1,973
77,83,90,90,1,586
91,96,94,94,1,884
135,137,178,178,1,607
57,59,56,56,1,1184
85,86,91,91,1,479
23,25,9,9,1,402
115,118,104,104,1,446
151,152,199,199,1,882
8,70,85,85,1,600
92,93,94,94,1,533
26,27,9,9,1,457
101,102,96,96,1,421
22,24,9,9,1,522
35,39,37,37,1,447
140,146,185,185,1,419
20,155,200,200,1,387
3,38,37,37,1,937
64,69,59,59,1,452
141,145,185,185,1,711
17,133,178,178,1,1218
147,151,199,199,1,432
141,144,185,185,1,646
24,27,9,9,1,623
3,36,37,37,1,1000
14,116,104,104,1,390
21,24,9,9,1,472
18,141,185,185,1,691
42,48,39,39,1,384
141,142,185,185,1,465
8,75,85,85,1,415
6,56,56,56,1,478
66,69,59,59,1,479
81,82,90,90,1,389
56,59,56,56,1,1497
13,108,99,99,1,792
137,139,178,178,1,548
92,94,94,94,1,559
72,75,85,85,1,493
